,Source,Target,Weight
14336,aiart, digitalart,845
10175, nightcafe, digitalart,828
14413,aiart, nightcafe,801
7257, digitalart, vqganclip,456
10245, nightcafe, vqganclip,456
14486,aiart, vqganclip,451
857, AIart, aiartcommunity,92
743, AIart, AIArtwork,87
958, AIart, midjourney,83
4014, aiart, aiartcommunity,66
4134, aiart, digitalart,64
9078, midjourney, midjourneyart,63
959, AIart, midjourneyAi,61
752, AIart, AIartists,60
9074, midjourney, midjourneyAi,59
15371,midjourney, AIart,59
744, AIart, AIArtworks,56
13126,AIart, midjourney,54
4062, aiart, art,52
82, AI, AIart,52
12810,AI, AIart,51
736, AIart, AI,49
434, AIArtwork, AiArtSociety,45
760, AIart, AiArtSociety,44
4547, aiartcommunity, midjourneyart,44
473, AIArtwork, aiartcommunity,44
4799, aiartists, aiartcommunity,43
632, AIArtworks, midjourney,42
4630, aiartdaily, aiartcommunity,42
5816, artoftheday, aiartcommunity,41
4800, aiartists, aiartdaily,41
322, AIArt, aiartcommunity,41
8938, midjourney, AIart,41
1281, AiAnimal, artoftheday,40
4654, aiartdailytheme, animals,40
4801, aiartists, aiartdailytheme,40
4804, aiartists, animals,40
4806, aiartists, artoftheday,40
4822, aiartists, picoftheday,40
4653, aiartdailytheme, aiartdaily,40
288, AIArt, AartiArt,40
587, AIArtworks, AIartists,40
1282, AiAnimal, picoftheday,40
342, AIArt, picoftheday,40
7980, future, picoftheday,40
1280, AiAnimal, animals,40
1279, AiAnimal, aicommunity,40
1278, AiAnimal, aiartists,40
1277, AiAnimal, aiartdailytheme,40
289, AIArt, AiAnimal,40
1276, AiAnimal, aiartdaily,40
1275, AiAnimal, aiartcommunity,40
4652, aiartdailytheme, aiartcommunity,40
4647, aiartdaily, picoftheday,40
4633, aiartdaily, animals,40
7967, future, animals,40
7968, future, artoftheday,40
10794, picoftheday, aiartcommunity,40
10796, picoftheday, artoftheday,40
329, AIArt, artoftheday,40
327, AIArt, animals,40
326, AIArt, aicommunity,40
325, AIArt, aiartists,40
324, AIArt, aiartdailytheme,40
13265,AiLust, AIart,40
323, AIArt, aiartdaily,40
5820, artoftheday, animals,40
7955, future, AIArt,40
7958, future, AartiArt,40
7959, future, AiAnimal,40
7962, future, aiartcommunity,40
7963, future, aiartdaily,40
7964, future, aiartdailytheme,40
7965, future, aiartists,40
7966, future, aicommunity,40
4656, aiartdailytheme, picoftheday,40
4655, aiartdailytheme, artoftheday,40
4447, aiartcommunity, animals,40
10795, picoftheday, animals,40
4636, aiartdaily, artoftheday,40
4996, aicommunity, aiartdailytheme,40
1237, AartiArt, aicommunity,40
1236, AartiArt, aiartists,40
1235, AartiArt, aiartdailytheme,40
1234, AartiArt, aiartdaily,40
1233, AartiArt, aiartcommunity,40
1232, AartiArt, AiAnimal,40
1240, AartiArt, picoftheday,40
4994, aicommunity, aiartcommunity,40
1238, AartiArt, animals,40
4995, aicommunity, aiartdaily,40
1239, AartiArt, artoftheday,40
5003, aicommunity, animals,40
530, AIArtwork, midjourney,40
5005, aicommunity, artoftheday,40
