Source,Target,Weight
dalle2, aiart,416
 dalle2, dalle,297
 dalle2, midjourney,276
 dalle, openai,234
 aiart, aiartcommunity,221
stablediffusion, dalle2,211
stablediffusion, aiart,196
 midjourney, aiart,195
 aiart, ai,193
 dalle2, openai,187
stablediffusion, midjourney,179
 dalle2, aiart,173
 midjourney, ai,171
 aiart, dalle2,161
 marvelapi, dalle2,156
 marvelapi, dalle,156
 marvelapi, openai,156
marvel, marvelapi,155
marvel, dalle2,155
marvel, openai,155
marvel, dalle,155
 aiart, aiartwork,150
 aiartcommunity, dalle2,146
 stablediffusion, midjourney,135
 aiartcommunity, midjourney,134
 dalle, midjourney,134
dalle2, aiartcommunity,133
 midjourney, midjourneyart,133
 aiartcommunity, ai,132
dalle2, stablediffusion,131
 aiart, midjourney,129
dalle2, ai,129
dalle2, midjourney,128
AI, Dalle2,127
 stablediffusion, midjourneyart,126
 stablediffusion, aiart,125
 digitalart, dalle2,123
dalle2, midjourneyart,120
 aiartcommunity, aiartwork,117
 midjourneyart, aiart,116
 aiart, aiartgallery,114
 stablediffusion, aiartcommunity,114
dalle2, aiartgallery,114
 midjourney, aiartgallery,113
 stablediffusion, aiartgallery,113
 midjourneyart, aiartgallery,113
 midjourney, aiartwork,112
 midjourney, aiartcommunity,112
aiart, dalle2,111
 dalle, aiart,111
dalle2, aiartwork,111
 midjourneyart, aiartcommunity,111
 digitalart, aiartcommunity,110
 stablediffusion, ai,108
 midjourneyart, digitalartgallery,108
 stablediffusion, aiartwork,108
 aiartgallery, digitalartgallery,108
 aiart, digitalartgallery,108
dalle2, digitalartgallery,108
stablediffusion, aiartist,108
 midjourney, digitalartgallery,108
 stablediffusion, digitalartgallery,108
stablediffusion, dalle,107
 midjourneyart, aiartwork,107
 aiartist, aiart,107
 aiart, aiartist,106
 aiartwork, ai,105
 aiartgallery, aiartcommunity,105
 dalle2, aiartcommunity,105
 aiartcommunity, aiartworks,105
 digitalartgallery, aiartcommunity,105
 midjourneyart, ai,104
 digitalartgallery, aiartwork,104
 aiartgallery, aiartwork,104
dalle2, digitalart,103
 aiart, aiartworks,103
