,Source,Target,Weight
10822,AIart, stablediffusion,269
11478,StableDiffusion, GenerativeArt,184
11451,StableDiffusion, AIArt,166
11477,StableDiffusion, GenerativeAI,166
1768, GenerativeAI, GenerativeArt,164
11825,aiart, stablediffusion,127
3651, aiart, stablediffusion,125
11459,StableDiffusion, AiArt,121
11450,StableDiffusion, AI,107
9740, stablediffusion, stablediffusionart,106
9388, stablediffusion, aiartcommunity,101
221, AIArt, GenerativeArt,100
9385, stablediffusion, aiart,99
739, AIart, stablediffusion,99
490, AIGenerated, GenerativeArt,98
208, AIArt, AIGenerated,98
88, AI, GenerativeAI,98
203, AIArt, AI,98
11453,StableDiffusion, AIGenerated,98
489, AIGenerated, GenerativeAI,98
220, AIArt, GenerativeAI,98
488, AIGenerated, AI,98
89, AI, GenerativeArt,98
9269, stablediffusion, AIart,96
9533, stablediffusion, digitalart,91
12880,stablediffusion, aiart,89
6270, digitalart, stablediffusion,88
3493, aiart, digitalart,86
3373, aiart, aiartcommunity,76
11688,ai, stablediffusion,73
3923, aiartcommunity, stablediffusion,72
3378, aiart, aiartwork,71
572, AIart, AIイラスト,69
1785, GenerativeArt, AIArt,66
1788, GenerativeArt, PromptSharing,66
229, AIArt, PromptSharing,66
1764, GenerativeAI, AIArt,66
1770, GenerativeAI, PromptSharing,66
11489,StableDiffusion, PromptSharing,66
2808, StableDiffusion2, StableDiffusion,64
9643, stablediffusion, midjourney,64
10687,AIArt, StableDiffusion,64
10688,AIArt, StableDiffusion2,63
3837, aiartcommunity, digitalart,63
2680, StableDiffusion, DreamStudio,63
10681,AIArt, DreamStudio,63
2807, StableDiffusion2, DreamStudio,63
647, AIart, aiartcommunity,63
7716, midjourney, stablediffusion,58
3376, aiart, aiartist,54
9382, stablediffusion, ai,52
7545, midjourney, ai,48
11471,StableDiffusion, DigitalArt,48
7547, midjourney, aiart,47
9394, stablediffusion, aiartwork,47
8394, nightcafe, digitalart,47
1017, AiArt, DigitalArt,47
3368, aiart, ai,46
3425, aiart, artificialintelligence,45
9265, stablediffusion, AIArtwork,44
3268, ai, stablediffusion,44
3576, aiart, midjourney,44
9583, stablediffusion, generativeart,43
3762, aiartcommunity, aiartwork,43
7625, midjourney, digitalart,42
13016,stablediffusion, midjourney,42
4894, art, stablediffusion,42
9392, stablediffusion, aiartist,41
12883,stablediffusion, aiartcommunity,41
560, AIart, AIArtCommunity,41
11485,StableDiffusion, NightCafe,40
11610,ai, aiart,40
2309, NightCafe, AIArtworks,40
7677, midjourney, midjourneyart,40
11452,StableDiffusion, AIArtworks,40
5040, artificialintelligence, stablediffusion,39
946, AIイラスト, stablediffusion,39
4032, aiartist, digitalart,39
66, AI, AIart,39
9439, stablediffusion, art,38
278, AIArtCommunity, AIイラスト,38
6195, digitalart, generativeart,38
10823,AIart, stablediffusionart,37
9274, stablediffusion, AIイラスト,37
3763, aiartcommunity, aiartworks,37
3533, aiart, generativeart,37
9448, stablediffusion, artificialintelligence,37
3594, aiart, nightcafe,36
3379, aiart, aiartworks,36
3146, ai, aiart,36
12953,stablediffusion, dalle2,36
3177, ai, artificialintelligence,35
6129, digitalart, aiart,35
6146, digitalart, art,35
4006, aiartist, artificialintelligence,35
4850, art, digitalart,35
7549, midjourney, aiartcommunity,34
9435, stablediffusion, anythingv3,34
3759, aiartcommunity, aiartist,34
13085,stablediffusion, stablesurreal,34
7828, midjourneyart, aiartcommunity,34
3413, aiart, art,34
3204, ai, digitalart,33
9279, stablediffusion, AiArtSociety,33
10714,AIArtworks, AIArtCommunity,33
3753, aiartcommunity, ai,33
10717,AIArtworks, AIイラスト,33
10716,AIArtworks, AIart,33
10668,AI, stablediffusion,33
12742,protogen, stablediffusion,33
11787,aiart, digitalart,33
5898, dalle2, midjourney,33
4119, aiartwork, aiartist,32
3653, aiart, stablediffusionart,32
406, AIArtwork, stablediffusion,32
4066, aiartist, stablediffusion,32
7826, midjourneyart, aiart,31
10741,AIArtworks, stablediffusion,31
9259, stablediffusion, AI,31
5844, dalle2, aiart,31
12958,stablediffusion, digitalart,31
740, AIart, stablediffusionart,31
4207, aiartworks, digitalart,30
6926, generativeart, stablediffusion,30
2651, StableDiffusion, AIart,30
12811,stablediffusion, AIart,30
3883, aiartcommunity, midjourney,29
12636,midjourney, stablediffusion,29
9646, stablediffusion, midjourneyart,29
174, AI, stablediffusion,29
3149, ai, aiartist,29
3589, aiart, nftart,28
7553, midjourney, aiartwork,28
7831, midjourneyart, aiartwork,27
7868, midjourneyart, digitalartgallery,27
7825, midjourneyart, ai,27
356, AIArtwork, aiartcommunity,27
7867, midjourneyart, digitalart,27
5023, artificialintelligence, generativeart,27
7829, midjourneyart, aiartgallery,27
7551, midjourney, aiartgallery,27
3388, aiart, aigenerated,27
121, AI, aiartcommunity,27
7626, midjourney, digitalartgallery,27
3978, aiartgallery, digitalartgallery,27
3494, aiart, digitalartgallery,27
12875,stablediffusion, ai,27
3375, aiart, aiartgallery,27
6299, digitalartgallery, aiartwork,26
7832, midjourneyart, aiartworks,26
3958, aiartgallery, aiartcommunity,26
2655, StableDiffusion, AIイラスト,26
3961, aiartgallery, aiartworks,26
3959, aiartgallery, aiartist,26
3960, aiartgallery, aiartwork,26
9657, stablediffusion, nftart,26
3991, aiartist, aiart,26
4189, aiartworks, aiartist,26
4120, aiartwork, aiartworks,26
6300, digitalartgallery, aiartworks,26
7554, midjourney, aiartworks,26
6298, digitalartgallery, aiartist,26
3791, aiartcommunity, artificialintelligence,26
11628,ai, artificialintelligence,26
6149, digitalart, artificialintelligence,26
7830, midjourneyart, aiartist,26
3170, ai, art,26
7552, midjourney, aiartist,26
6297, digitalartgallery, aiartcommunity,26
13084,stablediffusion, stablediffusionart,25
10787,AIart, aiartcommunity,25
4057, aiartist, nightcafe,25
4048, aiartist, midjourney,25
10223, waifu, stablediffusion,25
4180, aiartwork, stablediffusion,25
9503, stablediffusion, cyberpunk,25
10917,AiLust, AIart,25
6928, generativeart, stablediffusionart,25
947, AIイラスト, stablediffusionart,24
4150, aiartwork, digitalart,24
9221, stableDiffusionWaifu, AIイラスト,24
10843,AIイラスト, AIart,24
5015, artificialintelligence, digitalart,24
12212,dalle2, aiartworks,23
12231,dalle2, midjourneyart,23
12227,dalle2, digitalartgallery,23
11690,ai, stablediffusionart,23
3956, aiartgallery, ai,23
12230,dalle2, midjourney,23
4116, aiartwork, ai,23
8282, nftart, nftartist,23
12232,dalle2, stablediffusion,23
12211,dalle2, aiartwork,23
12208,dalle2, aiartcommunity,23
12210,dalle2, aiartist,23
6295, digitalartgallery, ai,23
8412, nightcafe, stablediffusion,23
9391, stablediffusion, aiartgallery,23
4188, aiartworks, ai,23
9534, stablediffusion, digitalartgallery,23
9395, stablediffusion, aiartworks,23
12207,dalle2, aiart,23
12209,dalle2, aiartgallery,23
12206,dalle2, ai,23
11812,aiart, nightcafe,23
10881,AIイラスト, stablediffusion,23
7582, midjourney, artificialintelligence,22
10760,AIart, AIArtwork,22
738, AIart, stableDiffusionWaifu,22
5783, dalle, aiart,22
7846, midjourneyart, artificialintelligence,22
9662, stablediffusion, nightcafe,22
11614,ai, aiartwork,22
11461,StableDiffusion, BobRoss,21
1026, AiArt, OilPaintings,21
2892, TheBeastsofAI, AIart,21
4992, artificialintelligence, aiart,21
12807,stablediffusion, AIArtwork,21
6305, digitalartgallery, artificialintelligence,21
9233, stableDiffusionWaifu, stableDiffusion,21
4129, aiartwork, artificialintelligence,21
737, AIart, stableDiffusion,21
945, AIイラスト, stableDiffusion,21
294, AIArtCommunity, stableDiffusionWaifu,21
277, AIArtCommunity, AIDigitalArtz,21
293, AIArtCommunity, stableDiffusion,21
6233, digitalart, nftart,21
3588, aiart, nft,21
900, AIイラスト, AIDigitalArtz,21
4994, artificialintelligence, aiartwork,21
3239, ai, midjourney,21
9218, stableDiffusionWaifu, AIDigitalArtz,21
9214, stableDiffusion, AIDigitalArtz,21
684, AIart, digitalart,21
4196, aiartworks, artificialintelligence,21
11487,StableDiffusion, OilPaintings,21
3147, ai, aiartcommunity,21
5814, dalle, midjourney,21
3966, aiartgallery, artificialintelligence,21
563, AIart, AIArtwork,21
566, AIart, AIDigitalArtz,21
12952,stablediffusion, dalle,21
1016, AiArt, BobRoss,21
11626,ai, art,20
6316, digitalartgallery, digitalart,20
2722, StableDiffusion, TheBeastsofAI,20
640, AIart, TheBeastsofAI,20
11512,StableDiffusion, landscape,20
12216,dalle2, artificialintelligence,20
3977, aiartgallery, digitalart,20
9266, stablediffusion, AIArtworks,20
8258, nftart, aigenerated,20
1786, GenerativeArt, DigitalArt,20
4054, aiartist, nftart,20
1033, AiArt, landscape,20
9864, stablediffusionart, aiartwork,20
1018, AiArt, GenerativeArt,20
474, AIArtworks, stablediffusion,19
3924, aiartcommunity, stablediffusionart,19
6223, digitalart, midjourney,19
9404, stablediffusion, aigenerated,19
11752,aiart, aiartcommunity,19
2729, StableDiffusion, aiartcommunity,19
6898, generativeart, art,19
8226, nft, nftart,19
7574, midjourney, art,19
6127, digitalart, ai,19
5869, dalle2, dalle,19
12226,dalle2, digitalart,19
10929,AiLust, TheBeastsofAI,18
10928,AiLust, StableDiffusion,18
6184, digitalart, digitalartwork,18
7136, illustration, stablediffusion,18
3225, ai, generativeart,18
10577,AI, AIart,18
11656,ai, generativeart,18
9927, stablediffusionart, stablediffusion,18
4999, artificialintelligence, art,18
10742,AIArtworks, stablediffusionart,18
10195, waifu, AIart,18
10206, waifu, aiartcommunity,18
3497, aiart, digitalartwork,18
296, AIArtCommunity, stablediffusionart,17
407, AIArtwork, stablediffusionart,17
4034, aiartist, digitalartwork,17
7607, midjourney, cyberpunk,17
6889, generativeart, aiartwork,17
12886,stablediffusion, aiartist,17
636, AIart, StableDiffusion,17
4751, anythingv3, AIart,17
5042, artificialintelligence, stablediffusionart,17
6165, digitalart, cyberpunk,17
3979, aiartgallery, digitalartwork,17
9537, stablediffusion, digitalartwork,17
5920, dalle2, stablediffusion,17
295, AIArtCommunity, stablediffusion,17
8227, nft, nftartist,17
7628, midjourney, digitalartwork,17
4152, aiartwork, digitalartwork,17
5016, artificialintelligence, digitalartwork,17
12862,stablediffusion, StableDiffusion2,17
7869, midjourneyart, digitalartwork,17
564, AIart, AIArtworks,17
7988, modernart, contemporaryart,17
6317, digitalartgallery, digitalartwork,17
3840, aiartcommunity, digitalartwork,17
4208, aiartworks, digitalartwork,17
10768,AIart, AIイラスト,16
10739,AIArtworks, stableDiffusion,16
10740,AIArtworks, stableDiffusionWaifu,16
6689, fantasy, stablediffusion,16
3703, aiartcommunity, AIArtworks,16
664, AIart, art,16
716, AIart, nftart,16
3755, aiartcommunity, aiart,16
4825, art, aiart,16
10715,AIArtworks, AIDigitalArtz,16
12228,dalle2, digitalartwork,16
3852, aiartcommunity, fantasy,16
9819, stablediffusionart, AIArtwork,16
9370, stablediffusion, TheBeastsofAI,16
10893,AiArt, StableDiffusion,16
11642,ai, digitalart,16
3205, ai, digitalartwork,16
4326, aigenerated, art,16
3477, aiart, dalle2,16
6886, generativeart, aiartcommunity,16
9264, stablediffusion, AIArtistCommunity,15
4827, art, aiartist,15
9862, stablediffusionart, aiartcommunity,15
10880,AIイラスト, prompton,15
3997, aiartist, aigenerated,15
3702, aiartcommunity, AIArtwork,15
11728,aiart, AIArtwork,15
9283, stablediffusion, AiLust,15
9270, stablediffusion, AIartists,15
3862, aiartcommunity, generativeart,15
6133, digitalart, aiartist,15
9693, stablediffusion, prompton,15
10874,AIイラスト, anythingv3,15
567, AIart, AIIA,15
4774, anythingv3, prompton,15
728, AIart, prompton,15
6679, fantasy, aiart,15
9719, stablediffusion, scifiart,15
6900, generativeart, artificialintelligence,14
8136, neuralart, aiart,14
3411, aiart, anythingv3,14
3383, aiart, aicreation,14
8263, nftart, artificialintelligence,14
6919, generativeart, nftart,14
8259, nftart, art,14
7707, midjourney, scifiart,14
9772, stablediffusion, waifudiffusion,14
9398, stablediffusion, aicreation,14
779, AIartists, aiartcommunity,14
12970,stablediffusion, dreamstudio,14
6105, digitalart, AIイラスト,14
2714, StableDiffusion, SciFiAIArt,14
6137, digitalart, aigenerated,14
68, AI, AIartwork,14
8291, nftart, stablediffusion,14
633, AIart, SciFiAIArt,14
6136, digitalart, aicreation,14
9816, stablediffusionart, AIArt,14
8137, neuralart, aiartist,14
10761,AIart, AIArtworks,14
8257, nftart, aicreation,14
12749,ravengris, digitalart,14
12743,ravengris, aiart,14
8154, neuralartwork, digitalart,14
12744,ravengris, aiartist,14
12745,ravengris, aicreation,14
12746,ravengris, aigenerated,14
12747,ravengris, art,14
8155, neuralartwork, generativeart,14
12748,ravengris, artificialintelligence,14
12750,ravengris, generativeart,14
8152, neuralartwork, art,14
12751,ravengris, neuralart,14
12752,ravengris, neuralartwork,14
12753,ravengris, neuralnetworks,14
12754,ravengris, nftart,14
12755,ravengris, stablediffusion,14
8157, neuralartwork, nftart,14
8158, neuralartwork, stablediffusion,14
4268, aicreation, art,14
8153, neuralartwork, artificialintelligence,14
8151, neuralartwork, aigenerated,14
8168, neuralnetworks, aiart,14
8145, neuralart, neuralnetworks,14
8138, neuralart, aicreation,14
8139, neuralart, aigenerated,14
8140, neuralart, art,14
8141, neuralart, artificialintelligence,14
8142, neuralart, digitalart,14
8143, neuralart, generativeart,14
8144, neuralart, neuralartwork,14
579, AIart, AiLust,14
8146, neuralart, nftart,14
8150, neuralartwork, aicreation,14
3996, aiartist, aicreation,14
232, AIArt, StableDiffusion,14
4000, aiartist, art,14
8147, neuralart, stablediffusion,14
13032,stablediffusion, nightcafe,14
8148, neuralartwork, aiart,14
240, AIArt, aiartcommunity,14
8149, neuralartwork, aiartist,14
4321, aigenerated, aicreation,14
8156, neuralartwork, neuralnetworks,14
4996, artificialintelligence, aigenerated,14
8176, neuralnetworks, nftart,14
10890,AiArt, AIイラスト,14
8170, neuralnetworks, aicreation,14
8169, neuralnetworks, aiartist,14
8177, neuralnetworks, stablediffusion,14
10926,AiLust, SciFiAIArt,14
7909, midjourneyart, stablediffusion,14
8174, neuralnetworks, digitalart,14
3822, aiartcommunity, dalle2,14
