Source,Target,Weight
 art, SupportHumanArtists,33
 ArtistOnTwitter, SupportHumanArtists,31
 HumanArtists, SupportHumanArtists,28
 artistsontwitter, SupportHumanArtists,22
 digitalart, SupportHumanArtists,20
 AIart, SupportHumanArtists,19
 noaiart, SupportHumanArtists,19
AIart, SupportHumanArtists,17
SupportHumanArtists, noaiart,16
SkillNotTalent, SupportHumanArtists,16
NoToAIArt, SupportHumanArtists,16
 support, SupportHumanArtists,15
SupportHumanArtists, AIart,15
art, SupportHumanArtists,15
noaiart, SupportHumanArtists,15
 artists, SupportHumanArtists,13
HumanArtists, SupportHumanArtists,13
 NoToAIArt, SupportHumanArtists,13
 artist, SupportHumanArtists,13
 SupportHumanArtists, digitalart,12
 art, ArtistOnTwitter,12
NoToAIGeneratedImages, SupportHumanArtists,12
 artistsontwitter, HumanArtists,12
ArtistOnTwitter, SupportHumanArtists,12
 SupportHumanArtists, HumanArtists,11
 art, artistsontwitter,11
 SupportHumanArtists, art,10
digitalart, SupportHumanArtists,10
 SupportHumanArtists, ArtistOnTwitter,10
SupportHumanArtists, ArtistOnTwitter,9
 art, digitalart,9
 SupportHumanArtists, handmade,9
 NFTGiveaway, SupportHumanArtists,9
 SupportHumanArtists, noaiart,9
SupportHumanArtists, HumanArtists,9
 ArtistOnTwitter, HumanArtists,9
 art, HumanArtists,9
SupportHumanArtists, NoToAIGeneratedImages,9
 artwork, SupportHumanArtists,8
 SupportHumanArtists, artistsontwitter,8
 NFTs, SupportHumanArtists,8
 handmadehour, htlmphour,8
 womaninbizhour, htlmphour,8
 sketch, SupportHumanArtists,8
 womaninbizhour, handmadehour,8
 inbizhour, womaninbizhour,8
 inbizhour, htlmphour,8
 inbizhour, handmadehour,8
 DigitalArtist, SupportHumanArtists,7
supporthumanartists, handmadehour,7
SupportHumanArtists, NoToAIArt,7
 noai, SupportHumanArtists,7
 art, handmade,7
SupportHumanArtists, artstation,7
 illustration, SupportHumanArtists,7
supporthumanartists, htlmphour,7
supporthumanartists, inbizhour,7
supporthumanartists, womaninbizhour,7
 openseaartists, SupportHumanArtists,7
 openseaartists, mandala,7
noAI, SupportHumanArtists,7
 SupportHumanArtists, NoToAIArt,7
 artist, art,7
 SupportHumanArtists, mandala,7
 digitalart, supporthumanartists,7
 NoToAIArt, NoToAIGeneratedImages,6
 OpenSeaNFT, mandala,6
 NFTcollections, openseaartists,6
noai, SupportHumanArtists,6
 mandala, Airdrop,6
 OpenSeaNFT, handmade,6
 art, mandala,6
 OpenSeaNFT, artistsontwitter,6
 NFTcollections, mandala,6
 OpenSeaNFT, art,6
 SupportHumanArtists, NoToAIGeneratedImages,6
 houdini, pinoyartist,6
 OpenSeaNFT, openseaartists,6
 OpenSeaNFT, SupportHumanArtists,6
 art, sketch,6
 creepypasta, NoToAIArt,6
 creepypasta, SupportHumanArtists,6
 maya, houdini,6
 ArtistOnTwitter, artistsontwitter,6
 maya, pinoyartist,6
 NFTGiveaway, OpenSeaNFT,6
 NFTcollections, handmade,6
 JustinSun, art,6
3dart, pinoyartist,6
3dart, supporthumanartists,6
 notoai, notoaiart,6
 notoaiart, notoaigeneratedimages,6
art, artwork,6
 artistsontwitter, handmade,6
 artistsontwitter, mandala,6
 JustinSun, openseaartists,6
 JustinSun, mandala,6
 JustinSun, handmade,6
 JustinSun, artistsontwitter,6
 JustinSun, SupportHumanArtists,6
3dart, houdini,6
 JustinSun, OpenSeaNFT,6
 JustinSun, NFTcollections,6
 JustinSun, NFTGiveaway,6
 JustinSun, NFTCommunity,6
 artstation, SupportHumanArtists,6
 openseaartists, Airdrop,6
 openseaartists, art,6
 openseaartists, artistsontwitter,6
 openseaartists, handmade,6
artistsontwitter, SupportHumanArtists,6
AIart, noai,6
3dart, maya,6
3dart, arnold,6
 NFTcollections, art,6
 supporthumanartists, maya,6
 NFTcollections, SupportHumanArtists,6
 NFTcollections, OpenSeaNFT,6
 NFTGiveaway, openseaartists,6
 NFTGiveaway, mandala,6
 NFTGiveaway, handmade,6
 NFTGiveaway, artistsontwitter,6
 NFTGiveaway, art,6
 NFTGiveaway, NFTcollections,6
 supporthumanartists, pinoyartist,6
 handmade, mandala,6
 NFTCommunity, openseaartists,6
 NFTCommunity, mandala,6
 disturbing, SupportHumanArtists,6
 NFTCommunity, handmade,6
 NFTCommunity, artistsontwitter,6
 supporthumanartists, houdini,6
 NFTCommunity, art,6
 NFTCommunity, SupportHumanArtists,6
 NFTCommunity, OpenSeaNFT,6
 NFTCommunity, NFTcollections,6
 NFTCommunity, NFTGiveaway,6
 supporthumanartists, arnold,6
 digitalpainting, SupportHumanArtists,6
 disturbing, NoToAIArt,6
 SupportHumanArtists, Airdrop,6
 NFTcollections, artistsontwitter,6
NFT, NFTcollections,6
 arnold, pinoyartist,6
NFT, NFTGiveaway,6
NFT, OpenSeaNFT,6
NFT, openseaartists,6
 arnold, maya,6
NFT, JustinSun,6
NFT, SupportHumanArtists,6
NFT, art,6
 arnold, houdini,6
NFT, mandala,6
NFT, handmade,6
NFT, artistsontwitter,6
NFT, NFTCommunity,6
 HorrorArt, SupportHumanArtists,5
 art, artist,5
SupportHumanArtists, AIisTheft,5
 supporthumanartists, artist,5
 JustinSun, Airdrop,5
 SupportHumanArtists, supportsmallbusiness,5
 HorrorArt, VHS,5
 sketch, HumanArtists,5
 HumanArtist, SupportHumanArtists,5
 OpenSeaNFT, Airdrop,5
noaiart, supporthumanartists,5
horror, disturbing,5
NFT, Airdrop,5
AIart, AIArtwork,5
 NFTcollections, Airdrop,5
 AnalogHorror, NoToAIArt,5
 htlmphour, ukmakers,5
 inbizhour, ukmakers,5
art, ArtistOnTwitter,5
 aiartist, artstation,5
horror, NoToAIArt,5
 handmadehour, ukmakers,5
skillnottalent, SupportHumanArtists,5
horror, SupportHumanArtists,5
 ocart, SupportHumanArtists,5
 Patreon, SupportHumanArtists,5
 VHS, SupportHumanArtists,5
 art, traditionalart,5
 AnalogHorror, SupportHumanArtists,5
horror, creepypasta,5
 VHS, NoToAIArt,5
 SupportSmallStreamers, SupportHumanArtists,5
 womaninbizhour, ukmakers,5
 traditionalart, SupportHumanArtists,5
 HorrorArt, NoToAIArt,5
artshare, SupportHumanArtists,5
 HorrorArt, disturbing,5
 digitalart, art,5
 artists, ArtistOnTwitter,5
 artistsontwitter, Airdrop,5
NoToAIArt, AIart,5
artstation, SupportHumanArtists,5
art, illustration,5
 NFTGiveaway, Airdrop,5
 NFTCommunity, Airdrop,5
 handmade, Airdrop,5
 art, Airdrop,5
 artist, HumanArtists,5
 HorrorArt, creepypasta,5
 ArtistOnTwitter, Pencildrawing,4
 sketch, Pencildrawing,4
 notoaiart, createdontscrape,4
ArtistOnTwitter, HumanArtists,4
 digitalart, humanartist,4
AIart, aiartistheft,4
horror, VHS,4
 supporthumanartists, localbusiness,4
 notoaiart, humanart,4
 aiartcommunity, aiartistheft,4
 SupportHumanArtists, artwork,4
AIart, aiartist,4
 notoaiart, digitalart,4
 humanart, supporthumanartists,4
art, HumanArtists,4
 traditionalart, drawingart,4
 artistsontwitter, sketchbook,4
 supporthumanartists, supportart,4
 aiartcommunity, artist,4
 AIArt, SupportHumanArtists,4
 aiartcommunity, localbusiness,4
 AIArtwork, localbusiness,4
 SupportHumanArtists, artist,4
 aiartist, aiartcommunity,4
horror, HorrorArt,4
AIart, artist,4
 artist, supportart,4
horror, HorrorCommunity,4
 artwork, illustration,4
SupportHumanArtists, SupportSmallStreamers,4
 supporthumanartists, noai,4
 AIArtwork, supportart,4
 aiartcommunity, supporthumanartists,4
 aiartcommunity, supportart,4
 aiartcommunity, noai,4
 AIArtwork, supporthumanartists,4
 artistsontwitter, artwork,4
 traditionalart, sketchbook,4
 artworks, SupportHumanArtists,4
 ArtistOnTwitter, traditionalart,4
 traditionalart, Pencildrawing,4
 artstation, AIart,4
 HumanArtists, pencilart,4
SupportHumanArtists, AI,4
horror, goreart,4
 artistsontwitter, sketch,4
 HumanArtists, drawingart,4
 NoToAIArt, art,4
horror, AnalogHorror,4
 artistsontwitter, traditionalart,4
 pencilart, Pencildrawing,4
 humanartist, supporthumanartists,4
 AIArtwork, noai,4
SupportHumanArtists, art,4
 ArtistOnTwitter, sketchbook,4
 traditionalart, HumanArtists,4
 follow, share,4
 SupportHumanArtists, Pencildrawing,4
 artistsontwitter, art,4
 HumanArtists, noaiart,4
 pencilart, drawingart,4
SupportHumanArtists, artists,4
 ArtistOnTwitter, sketch,4
 ArtistOnTwitter, pencilart,4
 NoToAIGeneratedImages, SupportHumanArtists,4
SupportHumanArtists, aiart,4
ArtistOnTwitter, art,4
 ArtistOnTwitter, cute,4
 localbusiness, aiartistheft,4
 ArtistOnTwitter, digitalart,4
AIart, aiartcommunity,4
commissionsopen, SupportHumanArtists,4
 artistsontwitter, artist,4
 ArtistOnTwitter, drawingart,4
 aiartist, aiartistheft,4
 Pencildrawing, drawingart,4
 pixelartist, SupportHumanArtists,4
 AIArtwork, aiartistheft,4
 AIArtwork, aiartist,4
artstation, AIart,4
 artist, aiartistheft,4
 artist, digitalart,4
 noai, art,4
 noai, aiartistheft,4
 disturbing, VHS,4
 sketchbook, Pencildrawing,4
 sketchbook, SupportHumanArtists,4
supporthumanartists, ukmakers,4
 artwork, ArtistOnTwitter,4
 sketchbook, drawingart,4
 sketchbook, pencilart,4
SupportHumanArtists, commissionsopen,4
 art, pencilart,4
 disturbing, AnalogHorror,4
 localbusiness, noai,4
 artistsontwitter, pencilart,4
noaiart, noai,4
 AIArtwork, artist,4
 sketchbook, HumanArtists,4
 SupportHumanArtists, pencilart,4
 artist, localbusiness,4
 sketch, drawingart,4
 supportart, aiartistheft,4
 HorrorCommunity, creepypasta,4
 HorrorCommunity, disturbing,4
 art, drawingart,4
 HorrorCommunity, SupportHumanArtists,4
 drawing, supporthumanartists,4
 supportart, noai,4
 digitalart, artist,4
 HorrorCommunity, NoToAIArt,4
 pixelart, SupportHumanArtists,4
NoToAIGeneratedImages, NoToAIArt,4
 AIArtwork, aiartcommunity,4
 sketch, pencilart,4
 HorrorArt, mandelacatalogue,4
 mandelacatalogue, NoToAIArt,4
 sketch, sketchbook,4
 mandelacatalogue, SupportHumanArtists,4
 artists, traditionalart,4
 HorrorArt, goreart,4
 sketch, traditionalart,4
 HorrorArt, AnalogHorror,4
 SupportHumanArtists, drawingart,4
 pixelartist, pixelart,4
 AnalogHorror, VHS,4
 digitalpainting, HumanArtists,4
 HumanArtists, Pencildrawing,4
 creepypasta, VHS,4
 artists, artistsontwitter,4
AIart, supportart,4
 creepypasta, disturbing,4
 drawing, SupportHumanArtists,4
 shopsmall, SupportHumanArtists,4
 artistsontwitter, drawingart,4
 art, Pencildrawing,4
AIart, localbusiness,4
 digitalartwork, SupportHumanArtists,4
 notoaiart, supporthumanartists,4
 aiartist, supporthumanartists,4
 aiartist, supportart,4
 aiartist, noai,4
 aiartist, localbusiness,4
 localbusiness, supportart,4
 aiartist, artist,4
AIart, supporthumanartists,4
 artistsontwitter, Pencildrawing,4
 digitalart, HumanArtists,4
 supporthumanartists, aiartistheft,4
 art, supporthumanartists,4
 artwork, HumanArtists,4
 artist, noai,4
 art, sketchbook,4
 digitalpainting, artist,4
 SupportHumanArtists, oc,4
art, cute,4
 traditionalart, pencilart,4
art, artistsontwitter,3
 artist, artstation,3
 supportmusicians, share,3
 supportmusicians, subscribe,3
 digitalart, digitalartwork,3
 artist, artistshops,3
 artwork, icon,3
 supportmusicians, okcopernicus,3
 share, okcopernicus,3
 supportpeople, ArtistOnTwitter,3
 share, c0p3rn1canr3c0rd5,3
createdontscrape, supporthumanartists,3
 artistsontwitter, icon,3
 follow, arthard,3
 drawing, illustration,3
 share, subscribe,3
SupportHumanArtists, supportpeople,3
 follow, subscribe,3
art, digitalart,3
 SupportHumanArtists, okcopernicus,3
SupportHumanArtists, sayNoToAI,3
 notoaiart, humanartist,3
 supportmusicians, 473x4ndr14,3
 artistsontwitter, digitalpainting,3
 artistsontwitter, illustration,3
 supportmusicians, arthard,3
 drawing, painter,3
 supportmusicians, c0p3rn1canr3c0rd5,3
 share, arthard,3
 follow, 473x4ndr14,3
 supportmusicians, follow,3
 artistsontwitter, digitalartwork,3
 follow, okcopernicus,3
 artist, pixelartwork,3
 follow, c0p3rn1canr3c0rd5,3
 artists, HumanArtists,3
 artistsontwitter, digitalart,3
 pixelartist, HumanArtists,3
 pixelartist, artist,3
 pixelartist, artistshops,3
 pixelartist, digitalartwork,3
 digitalpainting, pixelartwork,3
 digitalpainting, pixelartist,3
 digitalpainting, pixelart,3
 pixelartist, pixelartwork,3
 artists, drawingart,3
 artists, digitalart,3
 pixelartwork, HumanArtists,3
 digitalpainting, digitalartwork,3
 digitalpainting, digitalart,3
 pixelartwork, SupportHumanArtists,3
 pixelartwork, art,3
 pixelartwork, pixelartwork,3
 digitalpainting, artistshops,3
 digitalpainting, art,3
 Mecha, SupportHumanArtists,3
 digitalartwork, pixelartwork,3
 pixelartist, art,3
 pixelart, pixelartwork,3
 artistsontwitter, cute,3
 pixelart, digitalartwork,3
 supportart, art,3
 supportart, artstation,3
 artistshops, pixelartwork,3
 noaiart, digitalart,3
 artistshops, art,3
 artistshops, SupportHumanArtists,3
 artistshops, HumanArtists,3
aiart, SupportHumanArtists,3
 pixelart, HumanArtists,3
 artistsontwitter, ArtistOnTwitter,3
 pixelart, art,3
 disturbing, artwork,3
 pixelart, artist,3
 noaiart, AIart,3
 pixelart, artistshops,3
 artists, sketchbook,3
 artists, sketch,3
 artists, pencilart,3
 noai, artstation,3
 digitalartwork, artistshops,3
 digitalartwork, artist,3
 digitalartwork, art,3
 goreart, AnalogHorror,3
 artists, Pencildrawing,3
 digitalart, pixelart,3
 nft, nftart,3
 notoai, digitalart,3
 notoai, humanart,3
 digitalart, notoai,3
 supporthumanartists, artstation,3
 artistsontwitter, artistshops,3
 AI, SupportHumanArtists,3
 notoai, notoaigeneratedimages,3
 MATIC, SupportHumanArtists,3
 notoai, supporthumanartists,3
